seed_id,intent,question,answer,terminal,kind
S-0036,relocation_general_process,Can I change my state of deployment after being posted,"Yes. Relocation and redeployment are the same process under two names. There are two windows for it. In camp you apply during week 2 and results come by the end of camp. After camp the window opens once you are three months into your service year, through the Relocation tab on your dashboard. You have to be physically registered in your original state of deployment first, so you cannot relocate without ever reporting there.",,answer
S-0449,relocation_general_process,Is there a way to change my state without applying for redeployment,"No. Relocation is the only route, and it runs through the portal and the secretariats. Your LGI administers clearance and can mediate problems, but nobody approves a state change outside the relocation process.",,answer
S-0362,relocation_general_process,"When can I apply, and is there a window before camp","Not before camp. There are two windows and the earliest is week 2 of camp, using the form handed out at the Relocation Desk, with results released on the last day of camp and sometimes showing on your dashboard before then. The second opens at the three month mark, through the Relocation tab on your dashboard, where you fill in your details and upload your supporting documents at up to 200kb each.",,answer
S-0257,relocation_general_process,Can I still relocate now that I am already at my PPA or months into service,"Yes. The after camp window opens once you are three months into your service year, so already being at your PPA does not rule it out. Apply through the Relocation tab on your dashboard and upload your supporting documents at up to 200kb each. Once it is approved and you have been cleared, print your letter in colour and report to your new state's secretariat within 21 days of approval. Miss that 21 day window and the relocation can be reversed automatically.",,answer
S-0918,relocation_general_process,"I am married and posted away from my family, can I apply immediately after camp","Not immediately. The after camp window opens at the three month mark, so that is the earliest. Marital relocation is for married female corps members, and you need a registry marriage certificate, your husband's ID, proof of his residence such as a domicile letter or utility bill, and change of name evidence if it applies. Approval commonly runs 14 to 21 days.",,answer
S-0597,relocation_general_process,Can I apply for relocation because of a medical condition,"Yes. Health is one of the three accepted grounds. You need a medical report from a government hospital carrying the doctor's details and stating your specific condition. Approval commonly runs about 14 days once the after camp window is open, and urgent documented cases have gone through in about 2 days.",,answer
S-0007,relocation_general_process,Is ulcer one of the health issues that warrants redeployment,"It can be, but not because of the name. There is no fixed list of conditions that qualify. What decides a health ground is a medical report from a government hospital carrying the doctor's details and stating your specific condition, so ulcer counts if a government hospital documents it, and it does not count if you have nothing documented. The same is true of any other condition, so the question to answer is whether a doctor will put it in writing, not whether it appears on a list.",,answer
S-0972,relocation_general_process,Can NYSC reject a relocation on health grounds,"Yes, it can. The ground being accepted in principle does not make an application succeed. What carries it is the medical report from a government hospital, with the doctor's details and your specific condition on it, so a request with nothing documented behind it is the one that gets refused. You can apply again after a rejection, and each new attempt starts the clearance and printing steps over.",,answer
S-0596,relocation_general_process,Can I relocate because of insecurity where I was posted,"Yes. Security is one of the three accepted grounds. Submit a written statement of the specific threat, with supporting evidence where you have it. These are often prioritised. From Borno, Yobe or Adamawa it is fast tracked and often approved before camp ends. From any other state the bar is much higher and it needs strong documentation.",,answer
S-0022,relocation_general_process,"Is Yobe, Adamawa or Borno an automatic redeployment state","No state gives automatic redeployment. What those three give you is a fast tracked security application, often approved before camp ends, but you still apply on security grounds with a written statement of the specific threat and evidence where you have it. On cost, this is not something you pay a person to arrange. The only payment in the process is the fee on the portal when you print your letter.",,answer
