category,intent,question_count,faq_coverage,faq_source,source_url,find_in_source_ctrlF,faq_note,answer_type,answer,chat_answer,follow_up_trigger,follow_up_answer,answer_confidence
Registration & Eligibility,senate_list_status,38,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Senate,"Verify name appears on Senate/Academic Board Approved Result list before registering; if missing, contact institution directly.",Conditional,"The Senate List, also called the Academic Board Approved List, is compiled and uploaded by your institution, not NYSC. NYSC only publishes what schools send them.

Check your status at the NYSC Senate List portal. Pick your institution, enter your matriculation number, surname, and date of birth, then search. If your details appear, you're cleared to register. If you see ""No Record Found,"" your school hasn't uploaded you yet, or there's a mismatch in your details.

Two other scenarios come up here. Being on the Senate list but not the matriculation list, or vice versa, is a separate check. NYSC also cross-references your Senate List entry against JAMB's own Matriculation List, and a mismatch there produces its own error, ""Matriculation Number not found,"" which is fixed through JAMB, not your school. A wrong graduation year showing on the uploaded Senate list is a data-entry error at your institution's end, not a personal registration problem. Report it to your school's Student Affairs or Mobilisation Office for correction and resubmission, there's no NYSC-side fix for it.

If your school never uploads you at all, this isn't just a delay. If your institution's Senate List submission misses the cutoff for your registration window entirely, you miss that batch and roll into the next one, through no fault of your own. There's no NYSC-side way to register without appearing on an uploaded Senate List first, so persistent follow-up with your school's Student Affairs office, not NYSC, is the only lever you have if it's taking unusually long. Outstanding departmental, faculty, library, or bursary clearance at your school can also keep your name off the list in the first place, that's a school-side hold, worth checking before assuming it's just processing time.","Your institution compiles and uploads the Senate List, not NYSC, and you can't register until your name appears on it. Follow up with your school's Student Affairs office if it's slow.","Are other people from your department or school also missing, or is it just you?","just_me -> This is most likely a data mismatch (wrong matric number, name, or date of birth on file) or an unresolved issue like outstanding fees or incomplete clearance. Go directly to your Student Affairs or Mobilisation Office and ask them to check and re-upload your record. If you miss your registration window while this gets sorted, your school is expected to carry you into the next mobilisation cycle rather than lose your place || others_too -> This is institutional, not personal. Your school likely hasn't submitted its list yet, or submitted it late. There's nothing to fix on your end, the timeline depends entirely on your school's admin speed, commonly one to three months after clearance, sometimes longer. Follow up with your Mobilisation Office periodically. If you miss your registration window while this gets sorted, your school is expected to carry you into the next cycle rather than lose your place","Cross-validated -- the 'just you vs. everyone' diagnostic split and NYSC's zero visibility until schools upload are consistent across multiple current guides. The Senate-List-vs-Matriculation-List distinction and its specific error message are drawn directly from the same official cross-check mechanism already confirmed elsewhere in this project (see jamb_name_mismatch/jamb_documents_requirement) -- copied in here rather than cross-referenced, per the self-containment rule. The wrong-graduation-year scenario is reasoned from the general 'institutional data-entry error' pattern rather than a source describing that exact case. Never-uploaded batch-slip consequence and school-side clearance-hold detail are reasoned from this project's own confirmed batch_assignment_logic + senate_list_status mechanics, not independently re-sourced. REKEYED this pass (C1 mechanical rekey, per BUCKET_AB_FINDINGS.md's clean-24 list): content unchanged, labels converted to canonical keys."
Registration & Eligibility,batch_stream_timing,41,Covered,PDF/MOBREG,,Mobilization Time Table,Official Mobilization Time Table published at nysc.gov.ng/mobtable.html.,Conditional,"NYSC mobilises in three batches a year: Batch A, typically starting around March, Batch B, around May to July, and Batch C, around November. Each batch usually splits into Stream 1 and Stream 2.

You don't get grouped by personal choice, it comes down to two things NYSC checks automatically. First, when your institution uploads your Senate List to the portal, an earlier upload generally means an earlier batch, regardless of when you personally finished your degree. If your school uploads late, you get pushed to a later batch even if you graduated earlier than someone in an earlier batch. Second, your age at graduation. NYSC calculates this from your date of birth on file, usually pulled from JAMB, against your graduation date, and it must come out to 30 or under. If you're over 30 at graduation, you're excluded from mobilisation entirely and issued an Exemption Certificate instead of being assigned to any batch.

Exact dates shift year to year and are published on NYSC's official mobilisation timetable when confirmed, treat any date you see before that as provisional. To find your own batch and stream, check your NYSC dashboard or call-up letter after registering, it states both directly.

If you're asking about the allowance amount, the current federal rate is ₦77,000 a month. And if you've seen an abbreviation like ""NUA"" or ""ABU"" next to a state name on your call-up letter, that's an institution code embedded in the call-up number format, not a batch or stream code. Call-up numbers run NYSC/Institution Code/Year/Serial Number, so NYSC/LAG/2026/008343 means University of Lagos, 2026.","Your batch and stream are assigned automatically, not chosen, and both are stated on your NYSC dashboard and on your call-up letter once you've registered.","Which do you need: the timetable, how you got assigned, or how to find yours?","timetable -> Batch A typically starts around March, Batch B around May to July, and Batch C around November, each splitting into Stream 1 and Stream 2.
Exact dates shift yearly and are only confirmed on NYSC's official mobilisation timetable, so treat anything earlier as provisional.
The two streams don't pass out together, and the gap between them changes by batch and year. || how_assigned -> Two things decide it, both automatic. Your institution's Senate List upload timing sets your batch, so a late upload pushes you back regardless of when you graduated.
Your age at graduation must also be 30 or under, calculated from the date of birth on your JAMB record. Over 30 at graduation means an Exemption Certificate instead of a batch. || find_mine -> Log into your NYSC dashboard, or open your call-up letter, both state your batch and your stream directly. If neither shows them yet, your call-up number hasn't been generated, which usually means an unconfirmed payment or a Senate List still pending from your institution.","Cross-validated -- the 'batch is determined by institution upload timing, not personal choice or graduation date' point is confirmed consistently across multiple current (2026) sources, including confirmation that Batch B Stream 2 camp opened August 5, 2026 while Batch C had not yet been mobilised as of that date -- consistent with the described yearly pattern. The federal allowance figure (₦77,000) is reconfirmed against 5+ independent 2026 sources. The 'NUA/ABU' abbreviation is resolved -- confirmed as institution codes (Nnamdi Azikiwe University Awka / Ahmadu Bello University Zaria) embedded in the call-up number, self-contained from this project's own NYSC_Institutional_Codes file. MERGED this pass (C2): retired batch_assignment_logic (near-duplicate; folded in the age-30-at-graduation rule this intent was missing). TRIMMED this pass: the allowance figure and NUA/ABU institution-code paragraphs cut to one-line cross-references -- that content is owned by allowance_amount and callup_number_vs_letter respectively."
Registration & Eligibility,name_correction,28,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Correction of Name,Login to dashboard > Apply for Name Correction > fill fields > Place Request. NYSC does not add/remove names; that requires institution to write NYSC directly.,Conditional,"Two different NYSC-side fixes exist depending on what's wrong. For spelling or word-order errors, like a misspelled name or names in the wrong order, log into your dashboard, click ""Apply for Correction of Name,"" fill in the fields, and submit. No fee, no institution involvement.

For adding or removing an entire name, for example a name on your certificate that's missing from your NYSC profile, NYSC won't process this directly from you. Your institution's Student Affairs Officer must write to NYSC on your behalf, so go to your school first, not the dashboard.

There's also a common third case: mismatches between your different official records, like JAMB, NIN, BVN, and your statement of result, rather than a mistake on the NYSC portal itself. NYSC's registration checks default to what's on your JAMB record as the reference point, so a NIN or BVN mismatch alone generally doesn't block registration, but a JAMB versus statement-of-result mismatch does need fixing before you can be reliably cleared.

If JAMB itself has the wrong name, that's a JAMB Correction of Data request, not an NYSC one. It's a one-time, one-cycle window, currently ₦3,500 via JAMB's eFacility portal, not an indefinite option. If that window has closed, the fallback is JAMB's Regularization service, which is slower and more expensive, so don't wait until the window closes if you already know something's wrong.

On affidavits: they're acceptable for some general name discrepancies between documents, like certificate versus passport, but not for date-of-birth corrections specifically. NYSC does not accept court affidavits as a DOB fix.","NYSC treats your JAMB record as the reference for your name, and what you can fix yourself depends on which kind of error it is.","Is this a spelling or order fix on the NYSC portal itself, an add or remove of a whole name, or a mismatch between different official records like JAMB, NIN, BVN, or your certificate?","spelling_order -> Handled entirely on your dashboard, no institution involvement, no fee || add_remove -> Go to your school's Student Affairs Officer first, they write to NYSC on your behalf || mismatch -> NYSC checks against your JAMB record, so a NIN or BVN mismatch alone generally doesn't block registration, but a JAMB versus statement-of-result mismatch does need fixing first.
Corrections go through your institution's Student Affairs office. If JAMB itself holds the wrong name, that's a JAMB Correction of Data request, not an NYSC one.","Cross-validated -- the spelling-vs-addition/removal distinction and SAO-involvement requirement are confirmed directly by an official nysc.gov.ng FAQ page and independently by multiple current guides (unchanged from prior audit). Newly added and cross-validated this pass: JAMB's Correction of Data is a one-time, one-cycle, fee-based (₦3,500) window rather than an indefinite option, with Regularization as the slower/costlier fallback once it closes -- confirmed across 5+ independent 2026 JAMB-focused sources, none of which describe any blanket embargo on name correction. The DOB-affidavit rejection is carried over from the confirmed dob_discrepancy_correction finding (self-contained, not cross-referenced) to flag that affidavits aren't a universal fix. The 'JAMB defaults as reference point, NIN/BVN-only mismatches generally don't block NYSC registration' framing is reasoned from the same logic already confirmed for DOB mismatches in dob_discrepancy_correction, extended here to name mismatches -- not independently re-sourced for name specifically, so treat that extension as reasoned rather than directly verified. REKEYED this pass (found during verification, not in either list in BUCKET_AB_FINDINGS.md -- 3 clean unambiguous branches, mechanical rekey)."
Registration & Eligibility,callup_number_delay,23,Not covered,-,,,No troubleshooting guidance found for call-up number delay.,Conditional,"First, confirm the basics: your Senate List status is approved, your registration is fully submitted, and your Remita payment, if you paid, went through. An unconfirmed payment is the single most common reason a call-up number won't generate at all.

If those all check out and it's still not showing, it's usually just a processing delay. Numbers are released in phases, not all at once, and schools whose lists were approved later get processed later. Keep checking your dashboard daily rather than assuming something is broken.

You don't need to wait for an SMS to check your dashboard yourself. SMS and email notifications are only sent to those who paid the optional registration package fee, the same fee that unlocks online call-up letter printing, and even for those who paid, the notification can lag or occasionally not arrive at all. Check your dashboard directly rather than waiting on a text that may never come.","Check that your Senate List status is approved, your registration is fully submitted, and your Remita payment went through. An unconfirmed payment is the commonest reason a call-up number never generates.","Is it just you affected, or is most of your batch or department also still waiting?","whole_batch -> This is a normal processing-wave delay, not a personal problem, nothing to do except keep checking and be patient. If you suspect a specific data issue, like a name correction still under review, resolving that directly is usually what unblocks your number || just_me -> This can genuinely mean you've been shifted to the next stream or batch, which happens and isn't something you did wrong. It's frustrating, but it doesn't mean you'll miss service, just that your window moved. If you suspect a specific data issue, like a name correction still under review, resolving that directly is usually what unblocks your number","Cross-validated -- the payment-confirmation check, phased release, and stream-shift possibility are all consistent across multiple current 2026 sources and a Nairaland-linked analysis thread. Newly added and cross-validated this pass: SMS/email notification is tied to the same optional paid registration package as online letter printing, confirmed directly via NYSC's own portal FAQ -- it's a convenience feature, not a gate, so its absence or delay doesn't mean anything is broken. REKEYED this pass (C1 mechanical rekey, per BUCKET_AB_FINDINGS.md's clean-24 list): content unchanged, labels converted to canonical keys."
Registration & Eligibility,dob_discrepancy_correction,20,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Date of Birth,Get 19/20-digit WAEC verification PIN from First Bank > enter on dashboard DOB correction link > verify. Gap between WAEC date and graduation date must be >=4 years. Different procedure if Exemption Certificate already issued.,Conditional,"Get a WAEC verification PIN, 19 or 20 digits, from an authorized outlet, then use it on your dashboard's ""Correction of Date of Birth"" link. Select your WAEC type, enter your year of exam and examination number, then verify and submit.

A few firm rules before you start. WAEC is the only exam body NYSC accepts for this, NECO and NABTEB results can't be used. You can only do this correction once, and only before you're deployed to camp, once your Call-Up Letter or Exemption Letter is generated, the option disappears permanently. The gap between your WAEC exam date and your graduation date generally needs to be at least four years for the correction to go through cleanly.

After submitting, check your dashboard daily, the update commonly takes a few days to reflect.

One point that resolves several common questions: NYSC's default reference for your date of birth is your JAMB record, not your NIN or your BVN. A DOB mismatch against NIN or BVN alone does not affect your eligibility, registration, camp admission, or your ability to open your NYSC allowance bank account, NYSC simply doesn't check those fields for this purpose.

NYSC has also stated it does not accept a court affidavit as a substitute for the WAEC-verification correction, no matter how large the discrepancy. The dashboard process above is the only accepted route.","NYSC uses the date of birth on your JAMB record as its reference, so a NIN or BVN mismatch alone doesn't block registration, camp admission, or opening your allowance account.","Is your JAMB record itself wrong, or is JAMB correct and only the NYSC portal or WAEC record off?","jamb_wrong -> Fix it at JAMB through a Correction of Data request, and do it before NYSC registration if you can, since NYSC pulls your date of birth from JAMB by default.
An affidavit isn't accepted for date-of-birth corrections specifically, unlike some general name discrepancies. || records_wrong -> Use the WAEC-verification-PIN process on your NYSC dashboard directly, as described above || nin_bvn_mismatch -> There's nothing you need to do for NYSC purposes specifically, it won't block registration, camp, or your allowance account. It's still good practice to align your records eventually, but there's no NYSC-driven urgency","Cross-validated -- the WAEC-only rule, one-time/pre-camp-only correction window, JAMB-not-NIN/BVN reference point, and the no-affidavit-accepted policy (confirmed via NYSC's own official statement on X) are all consistent across the official onlinefaq.pdf and multiple independent current (2026) sources. The direction of the 4-year WAEC-to-graduation gap rule is now officially confirmed (>=4 years), upgraded from cross-validated -- a live fetch of nysc.gov.ng/faq.html states this directly in NYSC's own words, and no current source was found describing the reverse. What happens if the dashboard still shows the wrong DOB beyond the typical few-days window is also unconfirmed by any source and flagged as such. REKEYED/RESTRUCTURED this pass (Batch 6 finish, decisions confirmed with user)."
Registration & Eligibility,callup_letter_access,18,Partial,PDF/MOBREG,,Printing of Call,"Printing call-up letters is listed as a self-service. N2,786.24 fee required to receive call-up number via SMS and print online; otherwise collect from school.",Conditional,"Your call-up number appears first, on your dashboard, once registration and payment are processed. The call-up letter, the actual printable document showing your posting state, camp, and reporting date, becomes available after that. Print it in colour, and don't laminate it. Don't confuse either of these with your Green Card, your registration confirmation slip, a separate document, or your State Code, which is only assigned once you physically arrive at camp.

If you paid the registration fee, you print your own letter online. If you didn't, you'd collect it from your institution instead. That optional payment is a fixed registration package fee, commonly cited around ₦3,000, paid via Remita during registration, not a separate charge just for printing. Paying it unlocks online printing and reprinting later if the letter is lost or damaged, plus SMS and email status notifications.

If you don't pay, you're not blocked from service, you simply collect your call-up letter physically from your institution instead. But you lose the ability to reprint it yourself if something happens to the paper copy, so keep your photocopies safe. You don't need to wait for an SMS to check or print your letter, that notification is a convenience tied to the same paid package, not a gate, check your dashboard directly regardless.

If you've held your call-up number since a previous stream, a full stream has passed with no letter, and you still haven't been mobilised, that combination isn't addressed directly by any source. The letter normally follows the number once processing catches up, so contact your state secretariat directly rather than keep waiting on the portal.","Your call-up number appears first on your dashboard, and the letter follows once processing catches up. How you get the letter depends on whether you paid the optional registration fee.","Did you pay the optional registration fee during registration, or not?","paid -> Print and reprint your call-up letter anytime from your dashboard. SMS and email notifications apply to you, though they can still lag or occasionally not arrive, check your dashboard directly if in doubt || not_paid -> Collect your call-up letter physically from your institution instead. If it's later lost or damaged you have no online reprint option, so keep it safe. You still print your Green Card yourself either way, that's a separate document and the payment choice doesn't affect it.","Cross-validated -- the four-document distinction (call-up number vs. letter vs. Green Card vs. State Code) is consistently confirmed and is a very common point of confusion in real accounts. Newly added and cross-validated this pass: the exact fee figure and what it unlocks, confirmed directly via NYSC's own portal FAQ (portal.nysc.org.ng) describing the fee as covering the whole online-registration package, not printing alone; and that SMS notification is a convenience tied to the same paid package rather than a requirement to access the letter. REKEYED this pass (C1 mechanical rekey, per BUCKET_AB_FINDINGS.md's clean-24 list): content unchanged, labels converted to canonical keys."
Registration & Eligibility,foreign_graduate_verification,17,Covered,PDF/MOBREG,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Foreign,"Still register and serve, but go through extra physical document verification (original certificates + passport entry/exit stamps) that Nigeria-trained graduates skip.",Conditional,"A foreign-trained graduate means any Nigerian citizen whose first degree or HND was earned outside Nigeria, regardless of which country, this includes Ghana and the UK, there's no ECOWAS or Commonwealth exception. You must complete online registration first, then undergo mandatory physical verification, online registration alone never substitutes for it. Only those physically seen, verified, and cleared with original credentials get deployed, exempted, or excluded.

At physical verification you need your original degree or HND certificate (a statement of result, downloaded transcript, or attestation letter are not accepted as substitutes), a complete official transcript signed and stamped by your institution, an Evaluation Letter from the Federal Ministry of Education confirming your foreign institution's accreditation, and all relevant passport pages from your study period, including the data page, entry visa, and your first-departure and return-to-Nigeria dates. O'level results, WAEC, NECO, or GCE, with a minimum of 5 credits including English and Mathematics in not more than two sittings, are required the same as for locally trained graduates, not waived.

A residence permit or visa covering your whole study period is normally required too. It shows through those same passport pages, not as a separate document. If you don't have one, provide other proof you studied there, like an immigration report and a sworn affidavit from a court in that country.

Any certificate not in English must be translated first, at the embassy of the country where you studied or a Nigerian university that teaches the language. Bring the translated copy to camp with your originals.

Online or purely correspondence-mode degrees, for example Oxford Brookes ACCA-style routes, are explicitly not accepted. An online-only foreign degree is a real risk here, not a technicality, though outcomes can depend on how your specific institution's delivery mode is evaluated, so confirm directly with NYSC or the Ministry for your programme.

Medical and health-professional foreign graduates go through the same physical verification as everyone else, not exempt, but must additionally upload proof of registration with their professional council, for example MDCN or PCN.

If your transcript hasn't arrived, you can't complete verification without it, since downloaded or unofficial transcripts aren't accepted. Press your school abroad directly, some universities can forward accreditation confirmation straight to the Ministry's evaluation unit, which can be faster.",You register through NYSC's foreign-graduate route and must attend physical verification in Nigeria in person. Bring your original certificates and your international passport showing a residence permit or visa covering your study period.,"Have you completed your online registration yet, and do you have your original certificate, transcript, and Ministry Evaluation Letter in hand?","registered:no -> Start there first, physical verification comes after || docs_in_hand:no -> Verification can't be completed until you have them, contact your foreign institution directly","Cross-validated -- mandatory physical verification regardless of online registration status, the not-accepted document list, the O'level requirement applying equally to foreign-trained graduates, and the medical-graduate professional-council requirement are confirmed directly via multiple current (2026) NYSC-sourced guides and official verification notices. The residential-permit question, translation requirement, and case-by-case online-degree evaluation are flagged as unconfirmed/reasoned. REKEYED this pass (Batch 5, compound format): both sub-slots are yes_no type, only the negative branches carry distinct content -- a yes/yes case falls through to the main answer correctly."
Registration & Eligibility,remobilization_after_abandon,14,Not covered,-,,,No remobilization/abandonment process described.,Statement,"Remobilization is the official route back into service for a corps member who absconded, meaning stopped attending camp or PPA without approval. That's different from Revalidation, which is for someone who never made it to camp at all in their assigned year.

It only happens through a periodically-opened portal, not year-round. NYSC announces each window per batch, and applications outside the stated window aren't accepted.

There are two paths depending on what your state did. If your state secretariat already took formal action on your abscondment, you register directly for remobilization when the portal opens. If your state took no formal action, a different registration route applies, confirm which applies to you with your state secretariat before the portal opens.

If you received monthly allowance before absconding, you must refund that exact amount, but only through the official NYSC dashboard, refunds paid any other way aren't recognised, and this refund is a precondition for your application being processed.

If you previously registered in an earlier window but couldn't complete documentation in your assigned state, you must register afresh in the next window rather than assume your earlier registration still counts.

On consequences: absconding is treated as a disciplinary matter, not a no-penalty choice. Unlike simply not reporting to camp at all, which just delays you to a later batch with no punishment, abandoning a PPA you already reported to, or repeatedly missing monthly clearance, is flagged as AWOL on the NYSC portal. Reported consequences include a service extension, commonly around one additional month per missed clearance, a withheld discharge certificate until the matter is resolved, and possible written queries or disciplinary action from your LGI. That's what makes remobilization necessary in the first place.

There's no waiting period before you can be remobilized — you don't have to wait for your original batch to pass out first. Some corps members believe there is, but it isn't NYSC policy, so apply through the portal when the window opens.

If your dashboard still marks you present for months you didn't actually serve, that's a records problem your state secretariat or LGI has to fix once you're back in the system through remobilization. There's no self-service dashboard correction for it.

NYSC Headquarters is at Plot 416, Tigris Crescent, off Aguiyi Ironsi Street, Maitama, PMB 138, Garki, Abuja. There's no process for someone else to enquire on your behalf, either — the affected corps member is expected to handle their own case.","Remobilization is the route back into service after absconding, and it only opens through a periodic portal window per batch. If you received allowance before absconding you must refund it through the dashboard first.",,,"Cross-validated -- remobilization-vs-revalidation distinction, dashboard-only refund requirement, and periodic (not year-round) portal opening pattern confirmed directly via multiple 2025-2026 NYSC official announcements. The two-path (state-action vs no-action) split is confirmed via a dedicated remobilization explainer. The 'must wait for original batch to pass out' claim and third-party HQ enquiry process are flagged as unconfirmed. Consequences addition (service extension, withheld certificate, disciplinary flag) cross-validated across 2+ independent current sources. REKEYED this pass (C1 mechanical rekey, per BUCKET_AB_FINDINGS.md's clean-24 list): content unchanged, labels converted to canonical keys."
Registration & Eligibility,green_card_printing,13,Not covered,-,,,Term 'Green Card' not addressed in these sources.,Conditional,"The Green Card is your online registration slip, showing your bio-data, passport photo, and other captured details. It's not the same as the call-up letter, which comes later and tells you your posting state, camp, and reporting date.

You print it yourself from your dashboard using ""Print Slip,"" on plain white A4 paper, no requirement to print in colour, and reprinting anytime is fine.

There's no rule for or against laminating it before camp. Some corps members do it without issue. If you're unsure, keep an unlaminated copy too, in case a camp officer needs to write or stamp on it later.

A blank Green Card, or one missing your call-up number, almost always means your call-up number hasn't been generated yet. Common causes are an unconfirmed Remita payment, numbers being released in stages, or your institution's Senate List submission not having reached NYSC yet.

A missing year-of-admission field on an otherwise-generated Green Card is more likely a data-entry gap from your registration or Senate List record than a call-up delay on its own, worth flagging to your institution rather than just waiting.

If you're revalidating and your dashboard says ""not evaluated"" despite complete documents, that's an active processing-queue status, not a rejection, but if it persists unusually long, raise it directly with your LGI or State Coordinator.

On payment, the roughly ₦3,000 online-registration fee unlocks unlimited online reprints and SMS or email notifications, it's not a separate one-time gate specifically for printing the Green Card. If you've completed standard registration and payment, printing access follows from that.","Print it yourself from your dashboard using Print Slip, on plain white A4. Colour isn't required and you can reprint any time. A blank card usually means your call-up number hasn't generated yet.","Is your issue that the Green Card won't print or shows blank, or that it prints fine but something on it looks wrong?","wont_print -> Check your Remita payment status first. If confirmed and still blank, it's likely a staged-release delay or a Senate List issue on your institution's end || wrong_info -> A missing call-up number means it hasn't been generated yet. Other wrong fields are usually a Senate List or registration data issue best raised with your institution or State Coordinator","Cross-validated -- Green Card vs call-up letter distinction, no-colour/no-reprint-limit, and the three common causes of a missing call-up number are confirmed consistently across multiple current 2026 guides. The N3,000 fee's actual scope is carried over from this project's already-confirmed callup_letter_access finding. Lamination and the missing-year-of-admission specifics are reasoned/flagged as not directly sourced. REKEYED this pass (C1 mechanical rekey, per BUCKET_AB_FINDINGS.md's clean-24 list): content unchanged, labels converted to canonical keys."
Registration & Eligibility,age_eligibility,12,Not covered,-,,,No age-eligibility rule stated in these specific FAQ sources.,Statement,"Eligibility is based on your age on the date your institution confirms your graduation, as recorded on the Senate List, not your age when you register, when your call-up letter arrives, or when you actually get to camp.

The governing NYSC Act sets the exemption threshold as being over the age of 30 at graduation, which means someone who is exactly 30 at graduation remains eligible to serve. Some third-party guides simplify this as ""30 or older is exempted,"" which would incorrectly exclude exactly-30 graduates, the statutory wording, over the age of thirty, is the accurate version.

If you were 30 or under at graduation, you register online as normal and go for service regardless of your current age. Someone who graduated at 28 but is now 32 due to mobilization delays or a late call-up is still eligible and won't be exempted on that basis.

If you were over 30 at graduation, exemption is automatic. You still register online, but you're issued a Certificate of Exemption instead of a call-up letter, there's no partial-service or reduced-term option.

Age is calculated by comparing the date of birth on your JAMB record, or your international passport for foreign-trained graduates, against your institution's recorded graduation date on the Senate List, not the date you personally collect your certificate. NYSC does not accept age corrections at the verification stage, so a wrong JAMB date of birth must be fixed through JAMB directly before completing NYSC registration.","Eligibility goes by your age on the graduation date recorded on the Senate List, not your age at registration or at camp. Over 30 at graduation means exemption, so someone exactly 30 is still eligible to serve.",,,"Medium -- that eligibility hinges on age-at-graduation (not current age, not registration date, not batch/call-up timing) and the JAMB-DOB-vs-Senate-List comparison mechanism are each confirmed by multiple independent current sources. The exact cutoff question ('30 or under = eligible' vs '29 or under = eligible') leans resolved: nysc.gov.ng's own exemption-certificate page quotes the statutory wording as 'over the age of thirty,' implying exactly-30 is still eligible -- echoed by multiple current (2025-2026) independent guides, one walking through the exact day-count logic. This is the majority reading, not unanimous -- at least one current source (nyscpioneers.com) still states '30 or older' is exempted, so keep a brief caveat rather than presenting it as fully settled."
