batch,intent,question,faq_coverage,faq_source,source_url,find_in_source_ctrlF,faq_note,origin,seed_id,source_ref
Batch 1,camp_kit,Is it advisable to get rubber tennis after getting the normal or leather tennis?,Not covered,-,,,Not addressed.,original,S-0001,
Batch 1,camp_kit,Is V-neck white T-shirt allowed in camp or just round neck?,Not covered,-,,,Not addressed.,original,S-0002,
Batch 1,camp_kit,Is three white T-shirts enough for camp?,Not covered,-,,,Not addressed.,original,S-0003,
Batch 1,relocation_general_process,Can I serve in my present state after being posted to another state without doing direct posting?,Not covered,-,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Concessional,Only official override is concessional posting: marital ground (posting to husband's state) or health ground -- not general state choice.,original,S-0004,
Batch 1,revalidation,Will my data remain on the portal if I was mobilized but did not register?,Partial,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,revalidate,Revalidation opens when the online registration portal reopens (mentioned specifically re: graduation-date correction cases).,original,S-0005,
Batch 1,postpone_defer_service,How long can I wait before serving after graduation?,Not covered,-,,,No deferment procedure described.,original,S-0006,
Batch 1,relocation_general_process,Is ulcer one of the health issues that can warrant redeployment?,Partial,PDF,,,Not addressed.,original,S-0007,
Batch 1,registration_documents_general,Can you list the documents needed when registering on the NYSC portal?,Covered,MOBREG,https://www.nysc.gov.ng/mobreg.html,Requirements,"Functional email + Nigerian GSM number, correct matriculation number, name must appear on Senate list, compliant passport photo (white/off-white background, full face, centered).",original,S-0008,
Batch 1,certificate_correction_pending,Can I use a photocopy on my NYSC certificate before corrections reflect on my statement of result?,Partial,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,3 months,Related to the exemption certificate correction window (3-month rule) and name-correction workflow.,original,S-0009,
Batch 1,name_correction,How long does it take for a misspelt name to be corrected?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Correction of Name,Login to dashboard > Apply for Name Correction > fill fields > Place Request. NYSC does not add/remove names; that requires institution to write NYSC directly.,original,S-0010,
Batch 1,place_of_birth_correction,I filled the wrong place of birth during online registration; how can I correct it?,Not covered,-,,,Not addressed.,original,S-0011,
Batch 1,camp_items_allowed,Is a laptop allowed in NYSC camp?,Not covered,-,,,Not addressed.,original,S-0012,
Batch 1,camp_items_allowed,Can PCMs bring their gadgets to NYSC camp?,Not covered,-,,,Not addressed.,original,S-0013,
Batch 1,callup_number_delay,How long should I expect to wait for my call-up number after registration?,Not covered,-,,,No troubleshooting guidance found for call-up number delay.,original,S-0014,
Batch 1,noise,Is there anyone posted to Gombe from Uyo?,,-,,,Not a real question -- excluded from FAQ coverage analysis.,original,S-0015,
Batch 1,registration_documents_general,What is required of us to register?,Covered,MOBREG,https://www.nysc.gov.ng/mobreg.html,Requirements,"Functional email + Nigerian GSM number, correct matriculation number, name must appear on Senate list, compliant passport photo (white/off-white background, full face, centered).",original,S-0016,
Batch 1,postpone_defer_service,Can I postpone my NYSC service to a later batch?,Not covered,-,,,No deferment procedure described.,original,S-0017,
Batch 1,medical_fitness_report,Can private hospitals issue medical reports for NYSC?,Partial,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Health Ground,For health-ground concessional deployment: upload medical report from a Federal or State General Hospital plus doctor's details.,original,S-0018,
Batch 1,callup_number_delay,Why have I not received my call-up after one week of registration?,Not covered,-,,,No troubleshooting guidance found for call-up number delay.,original,S-0014,
Batch 1,waec_certificate_requirement,Do I need my original WAEC certificate for NYSC clearance and registration?,Not covered,-,,,No explicit statement on WAEC original certificate requirement for registration.,original,S-0020,
Batch 1,jamb_name_mismatch,How can I add my name to JAMB after a previous correction of name was rejected?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Correction of Name,Login to dashboard > Apply for Name Correction > fill fields > Place Request. NYSC does not add/remove names; that requires institution to write NYSC directly.,original,S-0021,
Batch 1,relocation_general_process,"If I was sent to Borno camp, will I automatically be redeployed to a state of my choice?",Partial,PDF,,,Not addressed.,original,S-0022,
Batch 1,ppa_ngo_service,How easy is it to serve with an NGO in one of the northern states?,Not covered,-,,,Not addressed.,original,S-0023,
Batch 1,ppa_ngo_service,Do NGOs accept corps members based on their course of study or do I need an acceptance letter?,Not covered,-,,,Not addressed.,original,S-0024,
Batch 1,ppa_ngo_service,Will NYSC post corps members to NGOs based on their course of study?,Not covered,-,,,Not addressed.,original,S-0025,
Batch 1,relocation_general_process,Can I be redeployed to my indigenous state after being posted far away?,Partial,PDF,,,Not addressed.,original,S-0026,
Batch 1,senate_list_status,"My name appeared on my school's Senate list, but online it shows no record found. What should I do?",Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Senate,"Verify name appears on Senate/Academic Board Approved Result list before registering; if missing, contact institution directly.",original,S-0027,
Batch 1,change_local_government,How can I change my local government after posting?,Not covered,-,,,Not addressed.,original,S-0028,
Batch 1,ppa_ngo_service,Is it possible to serve with an NGO as a corps member?,Not covered,-,,,Not addressed.,original,S-0029,
Batch 1,nhis_health_insurance,Are corps members included in NHIS?,Not covered,-,,,"Note: nysc.gov.ng has a separate 'NHIA Enrolment' page linked in the nav, but no FAQ content on it was retrieved.",original,S-0030,
Batch 1,waec_certificate_requirement,Do I need my original WAEC certificate during NYSC registration?,Not covered,-,,,No explicit statement on WAEC original certificate requirement for registration.,original,S-0031,
Batch 1,waec_certificate_requirement,Can I use two WAEC results if I lost one of the original certificates?,Not covered,-,,,No explicit statement on WAEC original certificate requirement for registration.,original,S-0032,
Batch 1,senate_list_status,Can I register for NYSC if my school's Senate list has not appeared online?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Senate,"Verify name appears on Senate/Academic Board Approved Result list before registering; if missing, contact institution directly.",original,S-0033,
Batch 1,revalidation,How does revalidation work if I did not register after my name appeared on the Senate list?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Senate,"Verify name appears on Senate/Academic Board Approved Result list before registering; if missing, contact institution directly.",original,S-0034,
Batch 1,name_correction,Can I use my school records to correct a name difference on the NYSC portal?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Correction of Name,Login to dashboard > Apply for Name Correction > fill fields > Place Request. NYSC does not add/remove names; that requires institution to write NYSC directly.,original,S-0035,
Batch 1,relocation_general_process,Can I change my state of deployment after receiving my posting?,Not covered,-,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Concessional,Only official override is concessional posting: marital ground (posting to husband's state) or health ground -- not general state choice.,original,S-0036,
Batch 1,posting_influence,How does NYSC decide which state to post a corps member to?,Not covered,-,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Concessional,Only official override is concessional posting: marital ground (posting to husband's state) or health ground -- not general state choice.,original,S-1418,
Batch 1,posting_influence,Can I choose a state I want to serve in during NYSC registration?,Not covered,-,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Concessional,Only official override is concessional posting: marital ground (posting to husband's state) or health ground -- not general state choice.,original,S-1416,
Batch 1,serve_at_current_workplace,Can I keep my remote job while serving NYSC?,Not covered,-,,,Not addressed.,original,S-0039,
Batch 1,camp_items_allowed,Can I come with my car to NYSC camp?,Not covered,-,,,Not addressed.,original,S-0040,
Batch 1,waec_certificate_requirement,Must I collect my certificate before I can be processed for NYSC service?,Not covered,-,,,No explicit statement on WAEC original certificate requirement for registration.,original,S-0041,
Batch 1,age_eligibility,Can I still go for service next year if I clock 30 before then?,Not covered,-,,,No age-eligibility rule stated in these specific FAQ sources.,original,S-0042,
Batch 1,exemption_certificate,When do they usually issue exemption certificates?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Exemption Certificate,Nigeria-trained: collect from institution; corrections only allowed within 3 months of online registration date. Foreign-trained: come to NYSC HQ with original documents for clearance and collection.,original,S-0043,
Batch 1,posting_influence,What are my chances of being posted to IITA for my PPA?,Not covered,-,,,No official mechanism described for choosing/influencing PPA.,original,S-0044,
Batch 1,change_local_government,Is there a way to change my local government after posting?,Not covered,-,,,Not addressed.,original,S-0045,
Batch 1,registration_method_at_home,Can I do my NYSC registration at home by myself?,Partial,PORTAL,https://portal.nysc.org.ng/nysc/FAQ.aspx,Digital Persona,Registration can be done on own computer if a Digital Persona fingerprint USB scanner is attached; otherwise use an accredited registration center/cybercafe.,original,S-0046,
