intent,paraphrase
certificate_correction_pending,Can I use a photocopy of my NYSC certificate while the correction is still pending?
certificate_correction_pending,"Before the correction reflects on my statement of result, is a photocopy of my certificate acceptable?"
certificate_correction_pending,My certificate correction hasn't shown on my statement of result yet - can I use a photocopy?
certificate_correction_pending,Is a photocopy of my NYSC certificate valid before the corrections appear?
certificate_correction_pending,"While waiting for my statement of result to be corrected, can I use a photocopy of the certificate?"
place_of_birth_correction,I entered the wrong place of birth during NYSC registration - how do I correct it?
place_of_birth_correction,How can I change my place of birth after filling it wrongly online?
place_of_birth_correction,My place of birth is wrong on my NYSC profile. How do I fix it?
place_of_birth_correction,I made a mistake in my place of birth during registration; how can it be corrected?
place_of_birth_correction,The place of birth I submitted is wrong - what's the correction process?
saed_program,Which skills can I learn under NYSC SAED?
saed_program,What training options does the SAED programme offer?
saed_program,What programmes are available in SAED during the service year?
saed_program,What can corps members learn through SAED?
saed_program,What are the SAED skill acquisition options?
certificate_verification,How do I verify an old NYSC certificate from 2004 Batch A?
certificate_verification,What is the process to verify my NYSC discharge certificate?
certificate_verification,I need to confirm that my NYSC certificate is genuine - how do I verify it?
certificate_verification,How can I get my NYSC certificate verified?
certificate_verification,Where do I go to verify an NYSC certificate from a past batch?
callup_letter_meaning,What does a call-up letter mean in NYSC?
callup_letter_meaning,Can you explain what an NYSC call-up letter is?
callup_letter_meaning,What is the purpose of the NYSC call-up letter?
callup_letter_meaning,What exactly is a call-up letter?
callup_letter_meaning,What is a callup letter used for?
consequence_of_not_reporting,What happens if I fail to report to my place of primary assignment?
consequence_of_not_reporting,Are there consequences for not showing up at my PPA?
consequence_of_not_reporting,"If I don't report to my PPA, what will happen?"
consequence_of_not_reporting,What is the penalty for not reporting to my primary assignment?
consequence_of_not_reporting,What happens if I skip reporting to my posting?
nysc_purpose_history,What is the purpose of NYSC?
nysc_purpose_history,Why was the NYSC scheme created?
nysc_purpose_history,Why do graduates have to serve in NYSC?
nysc_purpose_history,What is the reason behind the NYSC programme?
nysc_purpose_history,What is NYSC meant to achieve?
state_of_origin_correction,My state of origin is wrong - should I still continue with registration?
state_of_origin_correction,Is it safe to proceed with NYSC registration if my state of origin has an error?
state_of_origin_correction,Can I register for NYSC when my state of origin is incorrect?
state_of_origin_correction,There's a mistake in my state of origin; how do I correct it?
state_of_origin_correction,My state of origin was captured wrongly - what should I do?
jamb_documents_requirement,Do I need my original JAMB result for NYSC registration?
jamb_documents_requirement,Is the JAMB admission letter compulsory for NYSC?
jamb_documents_requirement,Are JAMB documents required to register for NYSC?
jamb_documents_requirement,Must I provide my JAMB admission letter when applying for NYSC?
jamb_documents_requirement,Is JAMB documentation needed for NYSC mobilization?
admission_year_correction,I made a mistake in my year of admission - how can I correct it?
admission_year_correction,How do I fix a wrong admission year on my NYSC profile?
admission_year_correction,My admission year was not captured during registration; is that a problem?
admission_year_correction,The portal didn't capture my year of admission - what should I do?
admission_year_correction,My year of admission is wrong on the NYSC portal. How do I change it?
pregnancy_accommodation,"If a woman is pregnant, can she still serve in NYSC?"
pregnancy_accommodation,Can a pregnant corps member go for service?
pregnancy_accommodation,Can pregnant women apply for relocation before camp?
pregnancy_accommodation,Does pregnancy stop someone from serving?
pregnancy_accommodation,Can I defer or relocate because I'm pregnant?
bvn_name_mismatch,My BVN name doesn't match my NYSC name - will it affect opening my account in camp?
bvn_name_mismatch,The name on my BVN differs from my NYSC records; is that a problem?
bvn_name_mismatch,Can I still go to camp if my BVN name and NYSC name don't match?
bvn_name_mismatch,Will a BVN name mismatch stop me from opening an account in camp?
bvn_name_mismatch,Does my BVN name have to match my NYSC name exactly?
logistics_platoon_duties,What happens if my platoon is assigned kitchen duty?
logistics_platoon_duties,How can I avoid platoon duties in camp?
logistics_platoon_duties,What are platoon duties during orientation camp?
logistics_platoon_duties,Do I have to take part in platoon chores in camp?
logistics_platoon_duties,Can I be excused from platoon duty?
institution_details_correction,Can I change my institution details after registration?
institution_details_correction,Can NYSC correct my institution name after I've registered?
institution_details_correction,How do I fix wrong institution details on my NYSC profile?
institution_details_correction,My school's name is wrong on my NYSC record - can it be changed?
institution_details_correction,How can my institution information be corrected on the portal?
logistics_social,How do I make friends in camp?
logistics_social,Is camp lively - will there be social activities like drama?
logistics_social,What is the social life like during orientation camp?
logistics_social,Are there clubs or troupes I can join in camp?
logistics_social,Will I be able to meet people and socialize in camp?
disciplinary_query,NYSC sent me a query letter - what do I do?
disciplinary_query,What happens if I receive a query in NYSC?
disciplinary_query,How do I respond to an NYSC query letter?
disciplinary_query,I got a disciplinary query from NYSC; what should I do?
disciplinary_query,How serious is an NYSC query letter?
nysc_year_structure,How many days do I have to stay in camp?
nysc_year_structure,How is the NYSC service year structured?
nysc_year_structure,What happens throughout the one year of service?
nysc_year_structure,How long is orientation camp and what comes after?
nysc_year_structure,What are the stages of the NYSC year?
nysc_skip_consequences,What happens if I don't do NYSC at all?
nysc_skip_consequences,"Can I skip NYSC entirely, and what are the consequences?"
nysc_skip_consequences,What are the consequences of avoiding NYSC?
nysc_skip_consequences,What happens if I refuse to do the service year?
nysc_skip_consequences,Are there penalties for skipping NYSC?
clearance_ppa_wont_sign,My PPA supervisor refused to sign my clearance - what can I do?
clearance_ppa_wont_sign,What happens if my PPA won't sign my clearance form?
clearance_ppa_wont_sign,My place of primary assignment refuses to sign my monthly clearance; how do I handle it?
clearance_ppa_wont_sign,What are my options if my PPA declines to sign clearance?
clearance_ppa_wont_sign,How do I get cleared if my PPA refuses to sign?
nysc_terminology_corper,What is a 'corper'?
nysc_terminology_corper,What does the word 'corper' mean?
nysc_terminology_corper,Who is called a corper in NYSC?
nysc_terminology_corper,What is the meaning of corps member or corper?
nysc_terminology_corper,Why are NYSC members called corpers?
bereavement_family_emergency,Can I leave camp to attend my father's burial?
bereavement_family_emergency,Can a corps member get permission to attend a family emergency during camp?
bereavement_family_emergency,How do I get permission to leave camp for a burial?
bereavement_family_emergency,Is compassionate leave allowed during orientation camp?
bereavement_family_emergency,Can I be excused from camp for an urgent family matter?
nhis_health_insurance,Are corps members covered by NHIS?
nhis_health_insurance,Does NYSC provide health insurance?
nhis_health_insurance,How does health insurance work for corps members?
nhis_health_insurance,Am I entitled to NHIS during service?
nhis_health_insurance,Is there medical cover for NYSC members?
profile_data_error,My degree was written wrongly on my NYSC profile - will it affect camp documentation?
profile_data_error,How do I correct a wrong degree classification on my NYSC profile?
profile_data_error,My gender was captured wrongly on the mobilization list; is that a problem?
profile_data_error,There's a data error on my NYSC profile - how do I fix it?
profile_data_error,How can wrong personal details on my NYSC profile be corrected?
disability_accommodation,Can someone with a physical disability serve in NYSC?
disability_accommodation,How does NYSC accommodate corps members with disabilities?
disability_accommodation,Can a person with a one-leg disability cope with camp training?
disability_accommodation,Is there support in camp for people with disabilities?
disability_accommodation,Can I still serve if I have a disability?
portal_evaluation_status,My dashboard still shows Batch A while others changed to Batch B - what do I do?
portal_evaluation_status,My NYSC dashboard says I haven't been evaluated even after registering; what should I do?
portal_evaluation_status,Why isn't my deployment state showing after I got my call-up letter?
portal_evaluation_status,My portal evaluation status hasn't updated - what's wrong?
portal_evaluation_status,The dashboard isn't reflecting my registration; how do I resolve it?
course_of_study_correction,How do I correct my course of study on the NYSC portal?
course_of_study_correction,My school uploaded the wrong course of study - how is it fixed?
course_of_study_correction,Can my course of study be corrected on my NYSC profile?
course_of_study_correction,The course on my NYSC record is wrong; how do I change it?
course_of_study_correction,How can I fix an incorrect course of study for NYSC?
decampment,"If someone is decamped, can they be re-mobilized?"
decampment,What does it mean to be decamped from NYSC?
decampment,I didn't show up for my stream - can I move to the next batch?
decampment,Can a decamped corps member serve later?
decampment,What happens after you're decamped from camp?
